sweep,case,arm,flow_n,dt_scale,step,iters
stiffness,vp_chaboche,pred-ls,20,1,4,2
stiffness,vp_chaboche,pred-ls,20,1,5,2
stiffness,vp_chaboche,pred-ls,20,1,6,2
stiffness,vp_chaboche,nopred-ls,2,1,1,15
stiffness,vp_chaboche,nopred-ls,2,1,2,15
stiffness,vp_chaboche,nopred-ls,2,1,3,15
stiffness,vp_chaboche,nopred-ls,2,1,4,15
stiffness,vp_chaboche,nopred-ls,2,1,5,15
stiffness,vp_chaboche,nopred-ls,2,1,6,15
stiffness,vp_chaboche,nopred-ls,4,1,1,17
stiffness,vp_chaboche,nopred-ls,4,1,2,17
stiffness,vp_chaboche,nopred-ls,4,1,3,17
stiffness,vp_chaboche,nopred-ls,4,1,4,17
stiffness,vp_chaboche,nopred-ls,4,1,5,17
stiffness,vp_chaboche,nopred-ls,4,1,6,17
stiffness,vp_chaboche,nopred-ls,8,1,1,17
stiffness,vp_chaboche,nopred-ls,8,1,2,19
stiffness,vp_chaboche,nopred-ls,8,1,3,19
